candidate_id,gender,ethnicity,education,years_experience,skills,label,skills_list,num_skills,skills_text
0,female,groupA,phd,10,investment;as;either;identify,1,"['investment', 'as', 'either', 'identify']",4,investment as either identify
1,male,groupB,masters,8,data;although;recent;thousand,1,"['data', 'although', 'recent', 'thousand']",4,data although recent thousand
2,male,groupB,masters,18,where;guess;agree;skin,1,"['where', 'guess', 'agree', 'skin']",4,where guess agree skin
3,female,groupB,bachelors,17,participant;direction;discuss;city,1,"['participant', 'direction', 'discuss', 'city']",4,participant direction discuss city
4,female,groupB,phd,15,serve;scientist;enter;character,0,"['serve', 'scientist', 'enter', 'character']",4,serve scientist enter character
5,male,groupA,phd,7,group;call;suggest;kid,1,"['group', 'call', 'suggest', 'kid']",4,group call suggest kid
6,non-binary,groupB,masters,6,peace;college;paper;long,1,"['peace', 'college', 'paper', 'long']",4,peace college paper long
7,non-binary,groupA,phd,8,space;if;may;mother,1,"['space', 'if', 'may', 'mother']",4,space if may mother
8,male,groupA,bachelors,4,fill;soldier;age;general,0,"['fill', 'soldier', 'age', 'general']",4,fill soldier age general
9,male,groupA,bachelors,1,reality;than;sister;staff,1,"['reality', 'than', 'sister', 'staff']",4,reality than sister staff
10,male,groupA,masters,20,change;activity;thus;either,1,"['change', 'activity', 'thus', 'either']",4,change activity thus either
11,female,groupB,bachelors,5,company;man;image;perform,0,"['company', 'man', 'image', 'perform']",4,company man image perform
12,female,groupA,phd,18,set;employee;eight;watch,1,"['set', 'employee', 'eight', 'watch']",4,set employee eight watch
13,female,groupA,masters,2,agree;boy;run;development,0,"['agree', 'boy', 'run', 'development']",4,agree boy run development
14,female,groupA,masters,14,approach;opportunity;service;question,0,"['approach', 'opportunity', 'service', 'question']",4,approach opportunity service question
15,male,groupB,bachelors,10,argue;among;wonder;church,0,"['argue', 'among', 'wonder', 'church']",4,argue among wonder church
16,female,groupA,masters,5,training;enjoy;view;event,1,"['training', 'enjoy', 'view', 'event']",4,training enjoy view event
